subject,intensity,seed,detected,recognized,score
David Beckham,0.1,2,1,0,0.28986656665802
David Beckham,0.2,2,1,0,0.3057490289211273
David Beckham,0.3,2,1,0,0.29208287596702576
David Beckham,0.4,2,1,0,0.30488523840904236
David Beckham,0.5,2,1,0,0.2873491048812866
David Beckham,0.6,2,0,0,nan
David Beckham,0.7,2,0,0,nan
David Beckham,0.8,2,0,0,nan
David Beckham,0.9,2,0,0,nan
David Beckham,1.0,2,0,0,nan
David Beckham,0.0,3,1,0,0.3467469811439514
David Beckham,0.1,3,1,0,0.34977129101753235
David Beckham,0.2,3,1,0,0.3603399693965912
David Beckham,0.3,3,1,0,0.35092872381210327
David Beckham,0.4,3,1,0,0.28249481320381165
David Beckham,0.5,3,1,0,0.2040591835975647
David Beckham,0.6,3,1,0,0.04279647022485733
David Beckham,0.7,3,0,0,nan
David Beckham,0.8,3,0,0,nan
David Beckham,0.9,3,0,0,nan
David Beckham,1.0,3,0,0,nan
David Beckham,0.0,4,1,1,0.37350088357925415
David Beckham,0.1,4,1,1,0.3724701702594757
David Beckham,0.2,4,1,0,0.35618412494659424
David Beckham,0.3,4,1,0,0.31325989961624146
David Beckham,0.4,4,1,0,0.2635424733161926
David Beckham,0.5,4,1,0,0.11352143436670303
David Beckham,0.6,4,1,0,0.004458880051970482
David Beckham,0.7,4,0,0,nan
David Beckham,0.8,4,0,0,nan
David Beckham,0.9,4,0,0,nan
David Beckham,1.0,4,0,0,nan
David Beckham,0.0,5,1,1,0.4222204387187958
David Beckham,0.1,5,1,1,0.42869266867637634
David Beckham,0.2,5,1,1,0.46199706196784973
David Beckham,0.3,5,1,1,0.44049423933029175
David Beckham,0.4,5,1,1,0.39643073081970215
David Beckham,0.5,5,1,0,0.21646268665790558
David Beckham,0.6,5,0,0,nan
David Beckham,0.7,5,0,0,nan
David Beckham,0.8,5,0,0,nan
David Beckham,0.9,5,0,0,nan
David Beckham,1.0,5,0,0,nan
Nestor Kirchner,0.0,0,1,1,0.717576265335083
Nestor Kirchner,0.1,0,1,1,0.7135887145996094
Nestor Kirchner,0.2,0,1,1,0.7069928646087646
Nestor Kirchner,0.3,0,1,1,0.6752892732620239
Nestor Kirchner,0.4,0,1,1,0.6406189203262329
Nestor Kirchner,0.5,0,1,1,0.47690460085868835
Nestor Kirchner,0.6,0,1,0,0.2025248408317566
Nestor Kirchner,0.7,0,0,0,nan
Nestor Kirchner,0.8,0,0,0,nan
Nestor Kirchner,0.9,0,0,0,nan
Nestor Kirchner,1.0,0,0,0,nan
Nestor Kirchner,0.0,1,1,1,0.6036428809165955
Nestor Kirchner,0.1,1,1,1,0.6068015694618225
Nestor Kirchner,0.2,1,1,1,0.5877067446708679
Nestor Kirchner,0.3,1,1,1,0.5716559290885925
Nestor Kirchner,0.4,1,1,1,0.5743041634559631
Nestor Kirchner,0.5,1,1,1,0.512086808681488
Nestor Kirchner,0.6,1,1,0,0.3140104413032532
Nestor Kirchner,0.7,1,0,0,nan
Nestor Kirchner,0.8,1,0,0,nan
Nestor Kirchner,0.9,1,0,0,nan
Nestor Kirchner,1.0,1,0,0,nan
Nestor Kirchner,0.0,2,1,1,0.5788635015487671
Nestor Kirchner,0.1,2,1,1,0.5768868923187256
Nestor Kirchner,0.2,2,1,1,0.5721351504325867
Nestor Kirchner,0.3,2,1,1,0.5498071312904358
Nestor Kirchner,0.4,2,1,1,0.4952889680862427
Nestor Kirchner,0.5,2,1,1,0.4755260646343231
Nestor Kirchner,0.6,2,0,0,nan
Nestor Kirchner,0.7,2,0,0,nan
Nestor Kirchner,0.8,2,0,0,nan
Nestor Kirchner,0.9,2,0,0,nan
Nestor Kirchner,1.0,2,0,0,nan
Nestor Kirchner,0.0,3,1,1,0.6687796711921692
Nestor Kirchner,0.1,3,1,1,0.6636149287223816
